SKU,ITEMID,DESCRIPTION,VENDOR,CAT,QUANTITY,PRICE,WEIGHT,SIZE,UNIT,SUB-CATEGORY,STATUS,UPC
134935,C6PATCH50PL,Startech Cable C6PATCH50PL 50ft Cat6 Molded RJ45 UTP Gigabit Patch Purple RTL,StarTech.com,CB, 0,17.04,1.37,EA,LB,CBN,ACTIVE,065030839105
134938,C6PATCH50RD,Startech Cable C6PATCH50RD 50ft Cat6 Molded RJ45 UTP Gigabit Patch Red Retail,StarTech.com,CB, 0,17.04,1.37,EA,LB,CBN,ACTIVE,065030839112
134939,C6PATCH75BL,Startech C6PATCH75BL 75ft Blue Molded Cat6 UTP Patch Cable ETL Verified Retail,StarTech.com,CB, 0,25.34,2.20,EA,LB,CBN,ACTIVE,065030789257
134940,C6PATCH6OR,Startech Cable C6PATCH6OR 6ft Cat6 Molded RJ45 UTP Gigabit Patch Orange Retail,StarTech.com,CB, 0,5.44,0.20,EA,LB,CBN,ACTIVE,065030838986
134975,SRCABLERING2U,Tripp-Lite SRCABLERING2U SmartRack 2U 19 Horizontal CBL Manager Flexible 2URM,Tripp-Lite,AC, 0,55.34,2.41,EA,LB,AC,ACTIVE,037332140678
134983,E10G42BFSRBLK,Intel E10G42BFSRBLK Ethernet Converged Network Adapter X520-SR2 Bulk Pack,Intel,NT, 0,593.54,0.40,EA,LB,NTV,ACTIVE,735858260794
134987,E10G42BTDABLK,Intel E10G42BTDABLK X520 DA2 2PT(2 SFP+) COPPER SVR Adapter 10G PCIE Bulk Pack,Intel,NT, 0,385.49,3.00,EA,LB,NTV,ACTIVE,735858260763
135063,N6PATCH75BL,StarTech Cable N6PATCH75BL 75ft Cat6 Blue Gigabit Snagless RJ45 UTP Patch CBL,StarTech.com,CB, 0,25.33,1.70,EA,LB,CBN,ACTIVE,065030838702
135066,N6PATCH75GN,StarTech Cable N6PATCH75GN 75ft Cat6 Green Gigabit Snagless RJ45 UTP Patch CBL,StarTech.com,CB, 0,25.34,1.70,EA,LB,CBN,ACTIVE,065030838726
135067,N6PATCH75GR,StarTech Cable N6PATCH75GR 75ft Cat6 Gray Gigabit Snagless RJ45 UTP Patch CBL,StarTech.com,CB, 0,25.34,1.70,EA,LB,CBN,ACTIVE,065030838696
135255,RLC-070,ViewSonic Accessory RLC-070 Replacement Lamp Module f PJD6223 PJD5126 PJD6353S,ViewSonic,AC, 0,247.09,2.00,EA,LB,PJA,ACTIVE,NA
135256,RLC-078,ViewSonic RLC-078 Replacement Lamp Module for PJD5132 PJD5134 PJD6235 PJD6245,ViewSonic,AC, 0,247.09,3.00,EA,LB,PJA,ACTIVE,NA
135284,RLC-082,ViewSonic Accessory RLC-080 PJ Lamp for PJD8353S 8653WS Replacement Lamp Modul,ViewSonic,AC, 0,223.43,1.00,EA,LB,PJA,ACTIVE,766907667615
135297,CRJ45C6SOL50,StarTech Accessory CRJ45C6SOL50 Cat 6 RJ45 Modular Plug for Solid Wire 50 Pack,StarTech.com,AC, 0,23.97,0.18,EA,LB,AC,ACTIVE,065030837576
135302,981-000510,Logitech Headset 981-000510 Stereo USB Wired H540 Semi-open Retail,Logitech,HE, 0,49.54,1.18,EA,LB,HED,ACTIVE,097855089601
135350,USB2106S,StarTech AC USB2106S Compact BK USB2.0 to 10 100 Mbps Ethernet Network Adapter,StarTech.com,AC, 0,21.21,0.37,EA,LB,NTA,ACTIVE,065030832366
135390,CB-00010555,ViewSonic CB-00010555 1.8mm DisplayPort Male to DisplayPort Male Video Cable,ViewSonic,CB, 0,16.69,0.48,EA,LB,CBE,ACTIVE,NA
135417,EW-7822UAC,Edimax Network EW-7822UAC AC1200 Wireless Dual-Band 802.11a b g n USB Adapter,Edimax,NT, 0,28.98,0.42,EA,LB,NTW,ACTIVE,649659022959
135483,SCREW6_32,StarTech SCREW6_32 Replacement PC Mount Screws #6-32 x 1 4Long Standoff 50PK,StarTech.com,AC, 0,4.29,50.00,EA,LB,AC,ACTIVE,065030780858
135487,SY-CAB40018,SYBA Cable SY-CAB40018 12 Molex 4-Pin to 2x 15-Pin Right Angle SATA Power RTL,SYBA,CB, 0,3.17,1.00,EA,LB,CBN,ACTIVE,810154017058
135520,TL-SG108,TP-Link Switch TL-SG108 8-Port 10 100 1000Mbps RJ45 Desktop Switch Retail,TP-Link,NT, 0,21.19,2.00,EA,LB,NTS,ACTIVE,845973021153
135522,TL-SG105,TP-Link Switch TL-SG105 5Port Gigabit 10 100 1000Mbps RJ45 Desktop Switch RTL,TP-Link,NT, 107,19.76,1.00,EA,LB,NTS,ACTIVE,845973021146
135571,FIBLCSC2,StarTech Cable FIBLCSC2 2m Multimode 62.5 125 Duplex Fiber Patch Cable LC-SC,StarTech.com,CB, 0,15.03,0.16,EA,LB,CBE,ACTIVE,065030797771
135572,FIBLCSC7,StarTech Cable FIBLCSC7 7m Multimode 62.5 125 Duplex Fiber Patch Cable LC-SC,StarTech.com,CB, 0,20.77,0.22,EA,LB,CBE,ACTIVE,065030797801
135650,CL-ME-606,SYBA Accessory CL-ME-606 Hi-Fi Desktop Microphone Gooseneck Mute Button Retail,SYBA,AC, 0,5.72,1.00,EA,LB,AC,ACTIVE,NA
135684,RTK-ASM,ROS AC RTK-ASM Anti-Static Mat Retail,Rosewill,AC, 0,21.20,1.32,EA,LB,AC,ACTIVE,898745031485
135692,RTK-045,ROS AC RTK-045 45-Piece Premium Computer Tool Kit Retail,Rosewill,AC, 0,23.86,3.00,EA,LB,AC,ACTIVE,898745009385
135699,X-XUSUX-AW,Seasonic CB X-XUSUX-AW Miscellaneous Power Cord for PSU AC1250V min BULK PACK,Seasonic,CB, 0,3.52,1.00,EA,LB,CBE,ACTIVE,NA
135724,RDCR-11004,Rosewill RDCR-11004 5.25 2PT USB3 4PT USB2 Hub eSATA Multi-in-1 Card Reader,Rosewill,AC, 0,55.67,0.45,EA,LB,AC,ACTIVE,898745045604
135738,RTK-090,Rosewill Accessory RTK-090 90-Piece Professional Computer Tool Kit Retail,Rosewill,AC, 4,60.97,4.40,EA,LB,AC,ACTIVE,898745009392
135818,50FIBLCST2,Startech Cable 50FIBLCST2 2m Multimode 50 125 Duplex Fiber Patch LC - ST RTL,StarTech.com,CB, 0,15.09,0.24,EA,LB,CBE,ACTIVE,065030849715
135821,50FIBLCST5,Startech Cable 50FIBLCST5 5m Multimode 50 125 Duplex Fiber Patch LC - ST RTL,StarTech.com,CB, 0,18.63,0.40,EA,LB,CBE,ACTIVE,065030849746
135822,SAS7070S200,StarTech SAS7070S200 2m Infiniband External SAS Cable SFF-8470 to SFF-8470 RTL,StarTech.com,CB, 0,88.30,0.60,EA,LB,CBE,ACTIVE,065030850650
135824,USB2AAEXT15M,StarTech Cable USB2AAEXT15M 15m USB 2.0 Active Extension M F Retail,StarTech.com,CB, 0,75.58,1.88,EA,LB,CBE,ACTIVE,065030846974
135825,USB2DVIPRO2,StarTech USB2DVIPRO2 USB to DVI Adapter External Video Card PC MAC 1920x1200,StarTech.com,AC, 0,97.37,0.53,EA,LB,VAC,ACTIVE,065030848008
135826,USB2VGAPRO2,StarTech USB2VGAPRO2 USB to VGA Adapter External Video Card PC MAC 1920x1200,StarTech.com,AC, 0,93.78,0.53,EA,LB,VAC,ACTIVE,065030847995
135830,FBM-01,Rosewill Case FBM-01 Dual Fans MicroATX Mini Tower 1x120mm 1x80mm Retail,Rosewill,CS, 0,31.72,23.00,EA,LB,CSM,ACTIVE,898745017885
135838,LINE-M,Rosewill Case LINE-M Mini-Tower 2 1 (2) USB 3.0 120mm Fan MATX Black Retail,Rosewill,CS, 0,50.76,21.90,EA,LB,CSM,ACTIVE,898745051988
135853,SI-PEX40057,SYBA CC SI-PEX40057 4PT SATA III 6Gb s PCIE RAID Full+Low Profile Brackets RTL,SYBA,CC, 0,45.86,1.00,EA,LB,CCR,ACTIVE,810154016808
135903,THOR V2-W,Rosewill THOR V2-W ATX Full Tower EATX XL-ATX USB 3.0 2.0 eSATA Fan Black RTL,Rosewill,CS, 0,168.77,48.87,EA,LB,CSF,ACTIVE,898745041675
136022,MCP-320-81302-0B,Supermicro MCP-320-81302-0B Fan holder for one 40x28mm fan Single Retail,Supermicro,AC, 0,10.40,1.00,EA,LB,AC,ACTIVE,672042113941
136041,USB32DVIEH,StarTech USB32DVIEH USB3.0 to DVI Video Card Multi Monitor Adapter 1xUSB Hub,StarTech.com,AC, 0,79.52,0.51,EA,LB,VAC,ACTIVE,065030849760
136042,PEXSAT34RH,StarTech Controller Card 4PT PCIE2.0 SATA 6Gbps RAID with Heatsink Retail,StarTech.com,CC, 0,97.11,0.32,EA,LB,CCA,ACTIVE,065030849951
